ISCO1D,ISCO2D,ISCO3D,ISCO4D,ISCO1Dname,ISCO2Dname,ISCO3Dname,ISCO4Dname,2017_Frey_autom,2018_Brynjolfsson_mSML,2020_Webb_AI,2020_Webb_robot,2020_Webb_software,2021_Felten_AIOE,2023_Felten_genAIOE,2021_Tolan_AI,2023_Gmyrek_LLM,2024_Autor_augm,2024_Autor_autom,2024_Eloundou_GPT,2024_Engberg_DAIOE,2024_Loaiza_augm,2024_Loaiza_autom,2024_Prytkova_digital,2025_Gmyrek_LLM
3,34,343,3434,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Chefs,0.3659058487874465,0.2717815344603381,0.5220492866407263,0.2172503242542153,0.5337224383916991,0.4456662354463131,0.42173350582147473,0.605,0.26,0.39762135922330105,0.08,0.6060225846925973,0.12617924690246582,0.7997416020671835,0.3068475452196382,0.38313253012048193,0.25
3,34,343,3435,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Other artistic and cultural associate professionals,0.47503566333808844,0.6384915474642393,0.7898832684824902,0.5732814526588845,0.8651102464332037,0.4036222509702458,0.4230271668822768,0.605,NA,0.5654854368932039,0.37,0.4190715181932246,0.5601415252685547,0.599483204134367,0.15633074935400518,NA,NA
3,35,351,3511,Technicians and associate professionals,Information and communications technicians,Information and communications technology operations and user support technicians,Information and communications technology operations technicians,0.6062767475035663,0.6137841352405722,0.6446173800259404,0.6329442282749675,0.8274967574578469,0.6636481241914618,0.6985769728331177,0.958,0.54,NA,NA,NA,0.7228773498535156,0.6447028423772609,0.3785529715762274,0.9975903614457832,0.43
3,35,351,3512,Technicians and associate professionals,Information and communications technicians,Information and communications technology operations and user support technicians,Information and communications technology user support technicians,NA,0.20026007802340703,0.8054474708171206,0.5719844357976653,0.8171206225680934,0.5834411384217335,0.5873221216041398,0.958,0.46,0.8138349514563107,0.92,NA,0.7582546997070313,0.6162790697674418,0.3049095607235142,0.9903614457831326,0.47
3,35,351,3513,Technicians and associate professionals,Information and communications technicians,Information and communications technology operations and user support technicians,Computer network and systems technicians,NA,0.8725617685305592,0.8728923476005188,0.2723735408560311,0.6381322957198443,0.6869340232858991,0.7270375161707633,0.958,0.43,0.8138349514563107,0.92,NA,0.9492924499511719,0.43669250645994834,0.599483204134367,1,0.43
3,35,351,3514,Technicians and associate professionals,Information and communications technicians,Information and communications technology operations and user support technicians,Web technicians,0.15121255349500715,0.8543563068920677,0.569390402075227,0.4098573281452659,0.603112840466926,0.7347994825355757,0.8505821474773609,0.958,0.42,0.8138349514563107,0.92,NA,0.9257075500488281,0.7164082687338501,0.4954780361757106,0.980722891566265,0.53
3,35,352,3521,Technicians and associate professionals,Information and communications technicians,Telecommunications and broadcasting technicians,Broadcasting and audio visual technicians,0.5398002853067048,0.4202860858257477,0.7105058365758755,0.7540856031128405,0.9299610894941635,0.5609314359637775,0.5630012936610608,0.849,0.36,0.6632135922330096,0.88,0.68444165621079045,0.7016509246826171,0.5684754521963824,0.30439276485788114,0.9108433734939759,0.35
3,35,352,3522,Technicians and associate professionals,Information and communications technicians,Telecommunications and broadcasting technicians,Telecommunications engineering technicians,0.6733238231098431,0.5097529258777633,0.5603112840466926,0.6783398184176395,0.7833981841763943,0.5899094437257438,0.6416558861578266,0.849,0.35,0.8006796116504856,1,0.6010037641154329,0.8242924499511719,0.5956072351421189,0.3281653746770026,0.9397590361445783,0.45
4,41,411,4110,Clerical support workers,General and keyboard clerks,General office clerks,General office clerks,0.9229671897289586,0.8719115734720416,0.3132295719844358,0.28793774319066145,0.36705577172503245,0.8673997412677878,0.7826649417852523,0.798,0.68,0.740509708737864,0.625,0.904642409033877,0.906839599609375,0.7777777777777777,0.3875968992248062,0.163855421686747,0.6
4,41,412,4120,Clerical support workers,General and keyboard clerks,Secretaries (general),Secretaries (general),0.8930099857346647,0.9466840052015605,0.12710765239948119,0.4474708171206226,0.4357976653696498,0.7826649417852523,0.6895213454075032,0.773,0.64,0.38786407766990294,0.63,0.9322459222082811,0.8832546997070313,0.6072351421188631,0.4599483204134367,0.0819277108433735,0.58
4,41,413,4131,Clerical support workers,General and keyboard clerks,Keyboard operators,Typists and word processing operators,0.6276747503566333,0.8998699609882965,0.14007782101167315,0.48638132295719844,0.27367055771725035,0.6455368693402329,0.6351875808538163,0.84,0.77,0.48621359223300975,0.75,0.9661229611041405,0.9351415252685547,0.30749354005167956,0.7080103359173127,0.8963855421686747,0.65
4,41,413,4132,Clerical support workers,General and keyboard clerks,Keyboard operators,Data entry clerks,0.9843081312410842,0.9713914174252276,0.9325551232166018,0.6199740596627756,0.6070038910505836,0.5860284605433377,0.5717981888745148,0.84,0.7,0.8031553398058253,0.81,0.9887076537013801,0.8502358245849609,0.24031007751937986,0.7545219638242894,0.9783132530120482,0.7
4,42,421,4211,Clerical support workers,Customer service clerks,"Tellers, money collectors and related clerks",Bank tellers and related clerks,0.9108416547788873,0.9687906371911574,0.16861219195849547,0.20817120622568092,0.28728923476005186,0.4974126778783958,0.407503234152652,0.387,0.72,0.05995145631067958,0.315,0.671267252195734,0.5483490753173829,0.2648578811369509,0.7196382428940569,0.9132530120481928,0.58
4,42,421,4212,Clerical support workers,Customer service clerks,"Tellers, money collectors and related clerks","Bookmakers, croupiers and related gaming workers",0.5629101283880171,0.7237971391417425,0.2954604409857328,0.2905317769130999,0.37976653696498053,0.6041397153945667,0.5433376455368694,0.387,0.52,0.654883495145631,0.468,0.4362191551652028,0.5813679122924804,0.7160206718346254,0.5113695090439276,0.7132530120481928,0.45
4,42,421,4213,Clerical support workers,Customer service clerks,"Tellers, money collectors and related clerks",Pawnbrokers and money lenders,NA,NA,NA,NA,NA,NA,NA,0.387,0.52,NA,NA,NA,NA,NA,NA,0.6795180722891566,0.48
4,42,421,4214,Clerical support workers,Customer service clerks,"Tellers, money collectors and related clerks",Debt collectors and related workers,0.8687589158345221,0.7074122236671001,0.3119325551232166,0.18028534370946822,0.1309987029831388,0.8492884864165589,0.8072445019404917,0.387,0.57,0.6279854368932039,0.37,0.8801756587202008,0.7299528503417969,0.522609819121447,0.5258397932816538,0.5855421686746988,0.43
4,42,422,4221,Clerical support workers,Customer service clerks,Client information workers,Travel consultants and clerks,0.31145981930575367,0.8248807975726051,0.5192390834414181,0.3908344141807177,0.2680501513186338,0.7529107373868047,0.709357481673135,0.412,0.74,0.6123462783171522,0.30666666666666664,0.8067754077791719,0.5719339752197266,0.49224806201550386,0.5581395348837209,0.9060240963855422,0.56
4,42,422,4222,Clerical support workers,Customer service clerks,Client information workers,Contact centre information clerks,0.6690442225392297,0.8328998699609883,0.5998702983138781,0.3631647211413748,0.6543450064850842,0.7399741267787839,0.6862871927554981,0.412,0.72,0.631990291262136,0.495,0.8651191969887077,0.7794811248779296,0.7409560723514212,0.3565891472868217,0.927710843373494,0.58
4,42,422,4223,Clerical support workers,Customer service clerks,Client information workers,Telephone switchboard operators,0.905135520684736,0.9544863459037711,0.4364461738002594,0.5998702983138781,0.7405966277561609,0.7445019404915912,0.5989650711513583,0.412,0.58,0.8092233009708737,0.61,0.9573400250941029,0.7747641754150391,0.8585271317829457,0.42958656330749356,0.9855421686746988,0.54
4,42,422,4224,Clerical support workers,Customer service clerks,Client information workers,Hotel receptionists,0.5670470756062768,0.9382314694408322,0.07522697795071337,0.5434500648508431,0.5265888456549935,0.6752910737386805,0.6338939197930142,0.412,0.68,0.17308252427184462,0.05500000000000001,0.7271016311166876,0.630896224975586,0.3456072351421189,0.6808785529715762,0.8144578313253013,0.51
4,42,422,4225,Clerical support workers,Customer service clerks,Client information workers,Enquiry clerks,0.7952924393723253,0.8803641092327699,0.31712062256809337,0.25616083009079116,0.3994811932555123,0.7774902975420439,0.7244501940491591,0.412,0.72,0.606504854368932,0.6699999999999999,0.9203262233375157,0.8926886749267579,0.5290697674418605,0.4431524547803618,0.30843373493975906,0.57
4,42,422,4226,Clerical support workers,Customer service clerks,Client information workers,Receptionists (general),0.8930099857346647,0.9063719115734721,0.5706874189364461,0.48249027237354086,0.7029831387808041,0.7477360931435963,0.68564036222509706,0.412,0.64,0.5273300970873785,0.63,0.8431618569636136,0.8360848999023438,0.49483204134366926,0.43669250645994834,0.5156626506024097,0.57
4,42,422,4227,Clerical support workers,Customer service clerks,Client information workers,Survey and market research interviewers,0.8388017118402282,0.11963589076723016,0.24643320363164722,0.04928664072632944,0.11284046692607004,0.8796895213454075,0.723156532988357,0.412,0.71,0.6457766990291265,0.6,0.9485570890840652,0.8620282745361328,0.8682170542635659,0.04780361757105943,0.708433734939759,0.55
